Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6
2040,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2050,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2060,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2070,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2080,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2090,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2100,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2110,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2120,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2130,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2140,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2150,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2160,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2170,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2180,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2190,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2200,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2210,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2220,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2230,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2240,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2250,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2260,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2270,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2280,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2290,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2300,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2310,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2320,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2330,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2340,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2350,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2360,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2370,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2380,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2390,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2400,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2410,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2420,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2430,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2440,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2450,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2460,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2470,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2480,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2490,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2500,-1040.936,2.757145e-08,0.5395082,0.6100825,0.7115526,0.6064137,0.4266767,0.7243516
2510,-991.7883,2.746657e-08,0.5512824,0.6316525,0.7117297,0.6104622,0.4939153,0.6960641
2520,-991.7883,2.746657e-08,0.5512824,0.6316525,0.7117297,0.6104622,0.4939153,0.6960641
2530,-991.7883,2.746657e-08,0.5512824,0.6316525,0.7117297,0.6104622,0.4939153,0.6960641
2540,-991.7883,2.746657e-08,0.5512824,0.6316525,0.7117297,0.6104622,0.4939153,0.6960641
2550,-991.7883,2.746657e-08,0.5512824,0.6316525,0.7117297,0.6104622,0.4939153,0.6960641
2560,-991.7883,2.746657e-08,0.5512824,0.6316525,0.7117297,0.6104622,0.4939153,0.6960641
2570,-991.7883,2.746657e-08,0.5512824,0.6316525,0.7117297,0.6104622,0.4939153,0.6960641
2580,-991.7883,2.746657e-08,0.5512824,0.6316525,0.7117297,0.6104622,0.4939153,0.6960641
2590,-991.7883,2.746657e-08,0.5512824,0.6316525,0.7117297,0.6104622,0.4939153,0.6960641
2600,-991.7883,2.746657e-08,0.5512824,0.6316525,0.7117297,0.6104622,0.4939153,0.6960641
2610,-991.7883,2.746657e-08,0.5512824,0.6316525,0.7117297,0.6104622,0.4939153,0.6960641
2620,-991.7883,2.746657e-08,0.5512824,0.6316525,0.7117297,0.6104622,0.4939153,0.6960641
2630,-991.7883,2.746657e-08,0.5512824,0.6316525,0.7117297,0.6104622,0.4939153,0.6960641
2640,-979.2354,2.805512e-08,0.4860722,0.6856906,0.6865931,0.6064044,0.5013308,0.6926073
