Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8,vecEff9,vecEff10
1890,-2014442,3.510172e-09,0.7403703,0.6736739,0.7524228,0.7002764,0.5338631,0.7766597,0.8223405,0.7841518,0.6242338,0.8596629
1900,-2014442,3.510172e-09,0.7403703,0.6736739,0.7524228,0.7002764,0.5338631,0.7766597,0.8223405,0.7841518,0.6242338,0.8596629
1910,-2014442,3.510172e-09,0.7403703,0.6736739,0.7524228,0.7002764,0.5338631,0.7766597,0.8223405,0.7841518,0.6242338,0.8596629
1920,-2007970,3.040613e-09,0.8136425,0.5725906,0.7689916,0.7444794,0.5220489,0.850108,0.5405945,0.8260574,0.7015815,0.852385
1930,-2007970,3.040613e-09,0.8136425,0.5725906,0.7689916,0.7444794,0.5220489,0.850108,0.5405945,0.8260574,0.7015815,0.852385
1940,-2007970,3.040613e-09,0.8136425,0.5725906,0.7689916,0.7444794,0.5220489,0.850108,0.5405945,0.8260574,0.7015815,0.852385
1950,-2007970,3.040613e-09,0.8136425,0.5725906,0.7689916,0.7444794,0.5220489,0.850108,0.5405945,0.8260574,0.7015815,0.852385
1960,-2007970,3.040613e-09,0.8136425,0.5725906,0.7689916,0.7444794,0.5220489,0.850108,0.5405945,0.8260574,0.7015815,0.852385
1970,-2007970,3.040613e-09,0.8136425,0.5725906,0.7689916,0.7444794,0.5220489,0.850108,0.5405945,0.8260574,0.7015815,0.852385
1980,-2007970,3.040613e-09,0.8136425,0.5725906,0.7689916,0.7444794,0.5220489,0.850108,0.5405945,0.8260574,0.7015815,0.852385
1990,-2007970,3.040613e-09,0.8136425,0.5725906,0.7689916,0.7444794,0.5220489,0.850108,0.5405945,0.8260574,0.7015815,0.852385
2000,-2007970,3.040613e-09,0.8136425,0.5725906,0.7689916,0.7444794,0.5220489,0.850108,0.5405945,0.8260574,0.7015815,0.852385
2010,-2007970,3.040613e-09,0.8136425,0.5725906,0.7689916,0.7444794,0.5220489,0.850108,0.5405945,0.8260574,0.7015815,0.852385
2020,-2007970,3.040613e-09,0.8136425,0.5725906,0.7689916,0.7444794,0.5220489,0.850108,0.5405945,0.8260574,0.7015815,0.852385
2030,-2007970,3.040613e-09,0.8136425,0.5725906,0.7689916,0.7444794,0.5220489,0.850108,0.5405945,0.8260574,0.7015815,0.852385
2040,-2007970,3.040613e-09,0.8136425,0.5725906,0.7689916,0.7444794,0.5220489,0.850108,0.5405945,0.8260574,0.7015815,0.852385
2050,-2007970,3.040613e-09,0.8136425,0.5725906,0.7689916,0.7444794,0.5220489,0.850108,0.5405945,0.8260574,0.7015815,0.852385
2060,-2007970,3.040613e-09,0.8136425,0.5725906,0.7689916,0.7444794,0.5220489,0.850108,0.5405945,0.8260574,0.7015815,0.852385
2070,-2007970,3.040613e-09,0.8136425,0.5725906,0.7689916,0.7444794,0.5220489,0.850108,0.5405945,0.8260574,0.7015815,0.852385
