Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8,vecEff9,vecEff10,vecEff11
680,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
690,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
700,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
710,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
720,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
730,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
740,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
750,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
760,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
770,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
780,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
790,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
800,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
810,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
820,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
830,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
840,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
850,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
860,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
870,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
880,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
890,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
900,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
910,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
920,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
930,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
940,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
950,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
960,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
970,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
980,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
990,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1000,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1010,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1020,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1030,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1040,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1050,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1060,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1070,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1080,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1090,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1100,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1110,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1120,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1130,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1140,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1150,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1160,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1170,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1180,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1190,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1200,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
