Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8,vecEff9,vecEff10
1210,-1708.858,4.121474e-08,0.7402049,0.7901033,0.8506208,0.8137444,0.8265823,0.6348145,0.6994239,0.8567973,0.4749402,0.7836546
1220,-1708.858,4.121474e-08,0.7402049,0.7901033,0.8506208,0.8137444,0.8265823,0.6348145,0.6994239,0.8567973,0.4749402,0.7836546
1230,-1708.858,4.121474e-08,0.7402049,0.7901033,0.8506208,0.8137444,0.8265823,0.6348145,0.6994239,0.8567973,0.4749402,0.7836546
1240,-1708.858,4.121474e-08,0.7402049,0.7901033,0.8506208,0.8137444,0.8265823,0.6348145,0.6994239,0.8567973,0.4749402,0.7836546
1250,-1708.858,4.121474e-08,0.7402049,0.7901033,0.8506208,0.8137444,0.8265823,0.6348145,0.6994239,0.8567973,0.4749402,0.7836546
1260,-1708.858,4.121474e-08,0.7402049,0.7901033,0.8506208,0.8137444,0.8265823,0.6348145,0.6994239,0.8567973,0.4749402,0.7836546
1270,-1708.858,4.121474e-08,0.7402049,0.7901033,0.8506208,0.8137444,0.8265823,0.6348145,0.6994239,0.8567973,0.4749402,0.7836546
1280,-1708.858,4.121474e-08,0.7402049,0.7901033,0.8506208,0.8137444,0.8265823,0.6348145,0.6994239,0.8567973,0.4749402,0.7836546
1290,-1708.858,4.121474e-08,0.7402049,0.7901033,0.8506208,0.8137444,0.8265823,0.6348145,0.6994239,0.8567973,0.4749402,0.7836546
1300,-1708.858,4.121474e-08,0.7402049,0.7901033,0.8506208,0.8137444,0.8265823,0.6348145,0.6994239,0.8567973,0.4749402,0.7836546
1310,-1708.858,4.121474e-08,0.7402049,0.7901033,0.8506208,0.8137444,0.8265823,0.6348145,0.6994239,0.8567973,0.4749402,0.7836546
1320,-1708.858,4.121474e-08,0.7402049,0.7901033,0.8506208,0.8137444,0.8265823,0.6348145,0.6994239,0.8567973,0.4749402,0.7836546
1330,-1708.858,4.121474e-08,0.7402049,0.7901033,0.8506208,0.8137444,0.8265823,0.6348145,0.6994239,0.8567973,0.4749402,0.7836546
1340,-1708.858,4.121474e-08,0.7402049,0.7901033,0.8506208,0.8137444,0.8265823,0.6348145,0.6994239,0.8567973,0.4749402,0.7836546
1350,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1360,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1370,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1380,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1390,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1400,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1410,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1420,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1430,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1440,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1450,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1460,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1470,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1480,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1490,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1500,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1510,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1520,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1530,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1540,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1550,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1560,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1570,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1580,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1590,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1600,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1610,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1620,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1630,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1640,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1650,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1660,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1670,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1680,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1690,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1700,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1710,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1720,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1730,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1740,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1750,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
1760,-1590.681,4.128964e-08,0.7086532,0.6934695,0.8692132,0.8479016,0.7133361,0.6842643,0.7174479,0.8195374,0.5174082,0.6651548
