Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8,vecEff9,vecEff10,vecEff11
850,-6124.554,3.962187e-09,0.818306,0.1610851,0.5883569,0.7804714,0.641758,0.7454178,0.8678021,0.3560242,0.7334594,0.5328963,0.7731582
860,-6124.554,3.962187e-09,0.818306,0.1610851,0.5883569,0.7804714,0.641758,0.7454178,0.8678021,0.3560242,0.7334594,0.5328963,0.7731582
870,-6000.423,3.613301e-09,0.969664,0.04414129,0.5248438,0.6352375,0.6702407,0.6692041,0.7882469,0.5425579,0.755703,0.5452491,0.7588745
880,-6000.423,3.613301e-09,0.969664,0.04414129,0.5248438,0.6352375,0.6702407,0.6692041,0.7882469,0.5425579,0.755703,0.5452491,0.7588745
890,-6000.423,3.613301e-09,0.969664,0.04414129,0.5248438,0.6352375,0.6702407,0.6692041,0.7882469,0.5425579,0.755703,0.5452491,0.7588745
900,-6000.423,3.613301e-09,0.969664,0.04414129,0.5248438,0.6352375,0.6702407,0.6692041,0.7882469,0.5425579,0.755703,0.5452491,0.7588745
910,-6000.423,3.613301e-09,0.969664,0.04414129,0.5248438,0.6352375,0.6702407,0.6692041,0.7882469,0.5425579,0.755703,0.5452491,0.7588745
920,-6000.423,3.613301e-09,0.969664,0.04414129,0.5248438,0.6352375,0.6702407,0.6692041,0.7882469,0.5425579,0.755703,0.5452491,0.7588745
930,-6000.423,3.613301e-09,0.969664,0.04414129,0.5248438,0.6352375,0.6702407,0.6692041,0.7882469,0.5425579,0.755703,0.5452491,0.7588745
940,-6000.423,3.613301e-09,0.969664,0.04414129,0.5248438,0.6352375,0.6702407,0.6692041,0.7882469,0.5425579,0.755703,0.5452491,0.7588745
950,-6000.423,3.613301e-09,0.969664,0.04414129,0.5248438,0.6352375,0.6702407,0.6692041,0.7882469,0.5425579,0.755703,0.5452491,0.7588745
960,-6000.423,3.613301e-09,0.969664,0.04414129,0.5248438,0.6352375,0.6702407,0.6692041,0.7882469,0.5425579,0.755703,0.5452491,0.7588745
970,-6000.423,3.613301e-09,0.969664,0.04414129,0.5248438,0.6352375,0.6702407,0.6692041,0.7882469,0.5425579,0.755703,0.5452491,0.7588745
980,-6000.423,3.613301e-09,0.969664,0.04414129,0.5248438,0.6352375,0.6702407,0.6692041,0.7882469,0.5425579,0.755703,0.5452491,0.7588745
990,-6000.423,3.613301e-09,0.969664,0.04414129,0.5248438,0.6352375,0.6702407,0.6692041,0.7882469,0.5425579,0.755703,0.5452491,0.7588745
1000,-6000.423,3.613301e-09,0.969664,0.04414129,0.5248438,0.6352375,0.6702407,0.6692041,0.7882469,0.5425579,0.755703,0.5452491,0.7588745
1010,-6000.423,3.613301e-09,0.969664,0.04414129,0.5248438,0.6352375,0.6702407,0.6692041,0.7882469,0.5425579,0.755703,0.5452491,0.7588745
1020,-6000.423,3.613301e-09,0.969664,0.04414129,0.5248438,0.6352375,0.6702407,0.6692041,0.7882469,0.5425579,0.755703,0.5452491,0.7588745
1030,-6000.423,3.613301e-09,0.969664,0.04414129,0.5248438,0.6352375,0.6702407,0.6692041,0.7882469,0.5425579,0.755703,0.5452491,0.7588745
1040,-6000.423,3.613301e-09,0.969664,0.04414129,0.5248438,0.6352375,0.6702407,0.6692041,0.7882469,0.5425579,0.755703,0.5452491,0.7588745
1050,-6000.423,3.613301e-09,0.969664,0.04414129,0.5248438,0.6352375,0.6702407,0.6692041,0.7882469,0.5425579,0.755703,0.5452491,0.7588745
1060,-6000.423,3.613301e-09,0.969664,0.04414129,0.5248438,0.6352375,0.6702407,0.6692041,0.7882469,0.5425579,0.755703,0.5452491,0.7588745
