Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5
1790,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1800,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1810,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1820,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1830,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1840,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1850,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1860,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1870,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1880,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1890,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1900,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1910,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1920,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1930,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1940,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1950,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1960,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1970,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1980,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
1990,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2000,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2010,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2020,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2030,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2040,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2050,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2060,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2070,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2080,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2090,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2100,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2110,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2120,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2130,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2140,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2150,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2160,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2170,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2180,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2190,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2200,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2210,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2220,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2230,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2240,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2250,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2260,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2270,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2280,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2290,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
