Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7
1540,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1550,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1560,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1570,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1580,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1590,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1600,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1610,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1620,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1630,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1640,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1650,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1660,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1670,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1680,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1690,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1700,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1710,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1720,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1730,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1740,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1750,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1760,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1770,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1780,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1790,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
